seniority_level,internship,degree_requirements,programming_languages,type_of_ml,libraries_and_tools,cloud_platforms,key_responsibilities,domain
Early Career,True,"Pursuing Bachelor's or Master's degree in Data Science, Machine Learning, or related technical field","['Python', 'C++']","['Computer Vision', 'Statistical Modeling', 'Time Series Analysis']","['Pytorch', 'Tensorflow', 'Jax', 'Linux']","['AWS', 'GCP', 'Azure']","[""Investigate a novel research area pertaining to Turion's mission set"", 'Design, develop, and validate algorithmic solutions which are highly reliable and scalable', 'Research and identify useful algorithms for challenging space-based applications', 'Optimize the runtime performance of existing implementations']",['Space']
Early Career,False,"Current or recent graduate with a background in Software Development, Computer Science, Computer Engineering, or a related technical discipline",['Not mentioned'],"['Natural Language Processing', 'Computer Vision', 'Recommendation Systems']",['Not mentioned'],['Not mentioned'],"['Participate in the improvement of the search core algorithm', 'Apply cutting edge machine learning technologies in real-time large-scale systems', 'Leverage LLM to enhance TikTok users search experience', 'Improve the relevance of TikTok search through content understanding']",['Social Media']
Mid-Level,False,Not mentioned,['Python'],"['Natural Language Processing', 'Generative AI']","['FastAPI', 'LangChain']",['Not mentioned'],"['Prototype and ship world-class algorithms for machine translation.', 'Lead exploration and application of Large Language Models and Generative AI.', 'Turn prototypes into automated pipelines and deploy them to production.', 'Perform ongoing data analysis to build or fine-tune models.']",['Software and Cloud']
Early Career,True,"Preferably pursuing a Ph.D. in machine learning/Ph.D. student in Computer Science with a strong background in machine learning, specifically deep learning, neural networks, and neural language models",['Python'],"['Natural Language Processing', 'Computer Vision', 'Multimodal Learning', 'Deep Learning', 'Generative AI']","['TensorFlow', 'PyTorch', 'Keras', 'HuggingFace']",['Not mentioned'],"['Conduct scientific research to design and develop innovative machine learning algorithms in the field of natural language processing for language modeling and multimodal text generation.', 'Collaborate with other researchers in developing machine learning algorithms, providing input and feedback to identify best possible solutions.', 'Utilize various tools and resources, including machine learning frameworks such as TensorFlow, PyTorch, and Keras, and models from the HuggingFace to fine-tune and train the models.', 'Prepare presentations and technical reports to showcase the experimental results and findings, effectively communicating the research outcomes to both technical and non-technical audiences.']",['Consumer Electronics']
Mid-Level,False,"Bachelor's degree in computer science, computer engineering, computer information systems, software engineering, or related area and 2 years’ experience in software engineering or related area. Preferred: Masters in Computer Science","['Python', 'Nodejs']","['Natural Language Processing', 'Deep Learning', 'Optimization', 'Predictive Modeling']","['scikit-learn', 'TensorFlow', 'PyTorch', 'Cassandra', 'Redis']",['Not mentioned'],"['Build Walmart-scale optimizations to improve advertiser outcomes using cutting-edge techniques.', 'Support the Model development lifecycle from ideation to deployment.', 'Collaborate with PMs, data scientists, and other engineering teams to align on engagement strategies.', 'Implement and optimize model architectures tailored to engagement prediction.']","['Retail', 'Advertising']"
Early Career,True,"Master’s program or in Junior or Senior year of study in Computer Science, Electrical Engineering or a related STEM field such as math or physics",['Python'],"['Supervised Learning', 'Deep Learning', 'Pattern Recognition']","['TensorFlow', 'PyTorch', 'Scikit-Learn', 'NumPy']",['Not mentioned'],"['Assist in collecting, preprocessing, and analyzing audio datasets for ML training and validation', 'Train, fine-tune, and evaluate machine learning models using frameworks like TensorFlow, PyTorch, or Scikit-Learn', 'Implement and optimize model validation techniques, including cross-validation, hyperparameter tuning, and performance metrics assessment', 'Assist in deploying and testing models in real-world scenarios, ensuring efficiency and reliability']",['Consumer Electronics']
Mid-Level,False,Not mentioned,['Python'],"['Deep Learning', 'Natural Language Processing', 'Computer Vision']","['PyTorch', 'TensorFlow', 'Jax']",['Not mentioned'],"['Design and build decentralized and distributed AI training pipelines', 'Optimize training for fast performance and low costs', 'Conduct research on cutting edge techniques for training on heterogeneous environments', 'Deploy machine learning models into production environments']",['Software and Cloud']
Not mentioned,False,Not mentioned,['Not mentioned'],"['Deep Learning', 'Generative AI']",['Not mentioned'],['AWS'],"['Design and build the platform for large-scale machine learning model training', 'Co-design and optimize systems and models for cost-effective ML model training', 'Design APIs and interfaces for ML practitioners and non-experts']",['Entertainment']
Early Career,True,"PhD in Computer Science, Computer Engineering, or equivalent experience",['Python'],"['Computer Vision', 'Natural Language Processing', 'Generative AI']",['PyTorch'],['Not mentioned'],"['Contribute to research and advanced development for FireFly training/data platform', 'Develop and implement scalable, efficient, and interpretable modeling algorithms', 'Work with large-scale data in production systems', 'Lead and collaborate on projects across different teams']",['Software and Cloud']
Senior,False,"Bachelor’s or Master's degree in Computer Science, Machine Learning, or a related field",['Python'],"['Natural Language Processing', 'Deep Learning', 'Optimization']","['TensorFlow', 'PyTorch']","['AWS', 'GCP']","['Develop and integrate LLMs with real-time data processing systems', 'Optimize LLM prompts and use RAG architecture', 'Deploy and manage ML models on cloud platforms', 'Handle multilingual data and build systems supporting multiple languages']",['Consulting']
Mid-Level,False,Not mentioned,"['Python', 'SQL', 'JavaScript', 'TypeScript']","['Natural Language Processing', 'Deep Learning']","['spacy', 'langchain', 'pandas', 'PyTorch', 'scikit-learn']",['AWS'],"['Ingesting, structuring and analyzing a wide range of unstructured datasources', 'Designing, maintaining and orchestrating data pipelines in an AWS environment', 'Evaluate, analyze, test and improve the quality, privacy and performance of data systems and models', 'Contribute to front-end UX, product design, API/systems architecture and core ML development']",['Healthcare']
Not mentioned,False,"Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science","['SQL', 'R', 'Python', 'Java']","['Statistical Modeling', 'Deep Learning', 'Natural Language Processing']","['TensorFlow', 'PyTorch', 'Hadoop', 'MapReduce', 'Tableau', 'Cognos']","['AWS', 'Azure']","['Develop innovative solutions to address data analytics challenges', 'Collect and process large volumes of data from varying sources', 'Perform data cleansing, transformation, interpretation, and inferencing', 'Communicate data-driven conclusions and recommendations to stakeholders']","['Government', 'Consulting']"
Not mentioned,False,"Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science","['SQL', 'R', 'Python', 'Java']","['Statistical Modeling', 'Deep Learning', 'Natural Language Processing']","['TensorFlow', 'PyTorch', 'Hadoop', 'MapReduce', 'Tableau', 'Cognos', 'RDF/OWL', 'SPARQL']","['AWS', 'Azure']","['Develop innovative solutions to address data analytics challenges', 'Collect and process large volumes of data from varying sources', 'Perform data cleansing, transformation, interpretation, and inferencing', 'Communicate data-driven conclusions and recommendations to stakeholders']","['Government', 'Software and Cloud']"
Mid-Level,False,"Master’s or PhD. in Computer Science, Electrical Engineering, or a related field",['Python'],"['Deep Learning', 'Generative AI', 'Pattern Recognition']","['TensorFlow', 'PyTorch']",['Not mentioned'],"['Explore and develop innovative modeling ideas for various datasets.', 'Implement and optimize machine learning algorithms, including neural networks, autoencoders, and decision trees.', 'Deployment of ML models on edge devices.', 'Conduct experiments and analyze results to improve model performance.']",['Consumer Electronics']
Mid-Level,False,Not mentioned,"['Python', 'Ruby', 'JavaScript', 'Java']","['Time Series Analysis', 'Optimization', 'Predictive Modeling']","['PyTorch', 'Pyro', 'Kubernetes', 'Weights and Biases']","['AWS', 'Azure', 'GCP']","['Develop and deploy analytic models on industrial data', 'Integrate new data sources into our data pipeline', 'Build and maintain data processing tools', 'Validate model performance and quantify value creation potential']","['Industrial Electronics', 'Logistics']"
Early Career,False,"Bachelor’s degree in Engineering, Computer Science, or a related field. Master's degree or PHD in Engineering, Computer Science, Statistics, Mathematics, or related field is strongly preferred.","['Python', 'SQL']","['Deep Learning', 'Computer Vision', 'Natural Language Processing']","['PyTorch', 'TensorFlow', 'Huggingface Transformers', 'MLFlow', 'scikit-learn', 'pandas', 'Jupyter', 'git', 'Docker', 'Terraform', 'Jenkins']",['AWS'],"['Assist in building and refining machine learning models for document processing.', 'Support monitoring and optimizing the performance of deployed models.', 'Engage with a cross-functional team to contribute to shared objectives.', 'Participate in identifying and incorporating new technologies and techniques.']",['Finance']
